dc won the toss and chose to bat
0.1 Trent Boult to Prithvi Shaw 0 Score: 0/0
0.2 Trent Boult to Prithvi Shaw 0 Score: 0/0
0.3 Trent Boult to Prithvi Shaw 0 Score: 0/0
0.4 Trent Boult to Prithvi Shaw 2 Score: 2/0
0.5 Trent Boult to Prithvi Shaw 1 Score: 3/0
0.6 Trent Boult to Shikhar Dhawan 1 Score: 4/0
1.1 Jayant Yadav to Shikhar Dhawan 2 Score: 6/0
1.2 Jayant Yadav to Shikhar Dhawan 1 Score: 7/0
1.3 Jayant Yadav to Prithvi Shaw 0 Score: 7/0
1.4 Jayant Yadav to Prithvi Shaw 1 Score: 8/0
