XVENUE-Wankhede
XTEAM-CSK
Ruturaj Gaikwad
Faf du Plessis
Moeen Ali
Suresh Raina
Ambati Rayudu
Ravindra Jadeja
MS Dhoni
Sam Curran
Dwayne Bravo
Shardul Thakur
Deepak Chahar
XTEAM-RR
Jos Buttler
Manan Vohra
Sanju Samson
Shivam Dube
David Miller
Riyan Parag
Rahul Tewatia
Chris Morris
Jaydev Unadkat
Shreyas Gopal
Mustafizur Rahman

